step	accuracy
1084	0.9375
1085	1.0
1086	0.9375
1087	0.90625
1088	1.0
1089	0.96875
1090	0.90625
1091	0.9375
1092	0.8125
1093	0.96875
1094	0.8125
1095	0.90625
1096	0.78125
1097	0.875
1098	0.8125
1099	0.78125
1100	0.90625
1101	0.875
1102	0.78125
1103	0.9375
1104	0.90625
1105	0.9375
1106	0.90625
1107	0.96875
1108	0.875
1109	0.9375
1110	0.84375
1111	0.84375
1112	0.9375
1113	0.875
1114	0.78125
1115	1.0
1116	0.875
1117	1.0
1118	0.875
1119	0.84375
1120	0.96875
1121	1.0
1122	0.90625
1123	0.84375
1124	0.875
1125	0.84375
1126	0.90625
1127	0.90625
1128	0.96875
1129	0.96875
1130	0.9375
1131	0.9375
1132	0.9375
1133	0.71875
1134	0.96875
1135	0.96875
1136	0.78125
1137	0.8125
1138	0.9375
1139	0.84375
1140	0.96875
1141	0.9375
1142	0.8125
1143	0.875
1144	0.875
1145	0.8125
1146	0.90625
1147	0.9375
1148	0.90625
1149	0.9375
1150	0.96875
1151	0.8000000715255737
1152	0.9375
1153	0.8125
1154	0.90625
1155	0.9375
1156	0.96875
1157	0.96875
1158	0.96875
1159	1.0
1160	1.0
1161	0.9375
1162	0.9375
1163	1.0
1164	0.90625
1165	0.84375
1166	0.96875
1167	1.0
1168	0.75
1169	0.875
1170	0.875
1171	0.75
1172	0.8125
1173	0.8125
1174	0.9375
1175	0.84375
1176	0.90625
1177	0.90625
1178	0.90625
1179	0.90625
1180	0.9375
1181	0.84375
1182	0.90625
1183	0.9375
1184	0.875
1185	0.84375
1186	0.90625
1187	0.84375
1188	0.96875
1189	0.9375
1190	0.90625
1191	0.96875
1192	0.90625
1193	0.8125
1194	0.96875
1195	0.8125
1196	1.0
1197	0.90625
1198	0.90625
1199	0.875
1200	0.90625
1201	0.875
1202	0.53125
1203	0.90625
1204	0.84375
1205	0.875
1206	0.90625
1207	0.78125
1208	0.875
1209	0.78125
1210	0.78125
1211	0.96875
1212	0.90625
1213	0.96875
1214	0.90625
1215	0.90625
1216	0.875
1217	0.90625
1218	0.96875
1219	0.90625
1220	0.96875
1221	0.875
1222	0.71875
1223	0.8666667342185974
1224	0.9375
1225	0.9375
1226	1.0
1227	0.9375
1228	0.96875
1229	0.96875
1230	0.90625
1231	0.90625
1232	0.96875
1233	0.9375
1234	1.0
1235	0.9375
1236	1.0
1237	0.875
1238	0.84375
1239	0.75
1240	0.9375
1241	0.96875
1242	0.96875
1243	0.875
1244	0.9375
1245	0.90625
1246	0.84375
1247	0.9375
1248	0.96875
1249	0.875
1250	0.9375
1251	0.96875
1252	0.84375
1253	0.96875
1254	0.9375
1255	0.90625
1256	0.96875
1257	0.96875
1258	0.9375
1259	0.75
1260	0.84375
1261	0.84375
1262	0.875
1263	0.90625
1264	0.9375
1265	0.90625
1266	0.9375
1267	0.8125
1268	0.84375
1269	0.96875
1270	0.90625
1271	0.90625
1272	0.9375
1273	0.96875
1274	1.0
1275	0.90625
1276	0.96875
1277	0.9375
1278	0.84375
1279	0.90625
1280	0.875
1281	0.875
1282	0.9375
1283	0.90625
1284	0.9375
1285	1.0
1286	1.0
1287	0.875
1288	0.90625
1289	0.9375
1290	0.90625
1291	1.0
1292	0.8125
1293	0.96875
1294	0.90625
1295	0.9333333969116211
1296	0.84375
1297	0.96875
1298	0.9375
1299	0.90625
1300	0.9375
1301	0.90625
1302	1.0
1303	0.875
1304	0.90625
1305	0.9375
1306	1.0
1307	0.75
1308	0.90625
1309	1.0
1310	0.96875
1311	1.0
1312	0.90625
1313	0.84375
1314	0.90625
1315	0.9375
1316	0.90625
1317	0.96875
1318	0.90625
1319	0.96875
1320	0.96875
1321	0.90625
1322	0.90625
1323	0.90625
1324	0.84375
1325	0.96875
1326	0.9375
1327	0.96875
1328	0.90625
1329	0.9375
1330	0.875
1331	0.96875
1332	0.875
1333	0.96875
1334	0.90625
1335	0.84375
1336	0.9375
1337	0.96875
1338	0.875
1339	0.84375
1340	0.90625
1341	1.0
1342	0.9375
1343	0.875
1344	0.8125
1345	0.84375
1346	0.96875
1347	0.875
1348	1.0
1349	0.875
1350	0.90625
1351	0.90625
1352	0.84375
1353	0.96875
1354	0.96875
1355	0.9375
1356	0.8125
1357	0.9375
1358	0.84375
1359	0.9375
1360	0.90625
1361	0.65625
1362	0.75
1363	0.96875
1364	0.96875
1365	0.8125
1366	0.9375
1367	0.8000000715255737
1368	0.96875
1369	0.90625
1370	0.96875
1371	1.0
1372	1.0
1373	0.96875
1374	1.0
1375	1.0
1376	0.96875
1377	1.0
1378	0.9375
1379	0.84375
1380	0.8125
1381	0.90625
1382	0.90625
1383	0.71875
1384	0.8125
1385	0.84375
1386	1.0
1387	0.9375
1388	0.9375
1389	0.9375
1390	0.90625
1391	0.9375
1392	0.9375
1393	0.9375
1394	1.0
1395	0.9375
1396	0.875
1397	0.9375
1398	0.75
1399	0.84375
1400	0.84375
1401	0.875
1402	0.90625
1403	0.875
1404	0.875
1405	1.0
1406	0.90625
1407	0.875
1408	0.9375
1409	0.90625
1410	0.9375
1411	0.90625
1412	0.96875
1413	0.875
1414	1.0
1415	0.9375
1416	0.875
1417	0.9375
1418	1.0
1419	0.90625
1420	0.78125
1421	1.0
1422	0.8125
1423	0.90625
1424	1.0
1425	0.96875
1426	0.96875
1427	0.9375
1428	1.0
1429	0.84375
1430	0.90625
1431	0.90625
1432	1.0
1433	0.9375
1434	0.90625
1435	0.96875
1436	0.9375
1437	0.9375
1438	0.9375
1439	0.8000000715255737
1440	0.8125
1441	0.875
1442	0.78125
1443	0.875
1444	0.9375
1445	0.90625
1446	0.96875
1447	0.96875
1448	1.0
1449	0.96875
1450	0.96875
1451	0.96875
1452	0.78125
1453	0.8125
1454	0.8125
1455	0.78125
1456	0.84375
1457	0.96875
1458	0.9375
1459	0.625
1460	1.0
1461	0.875
1462	0.90625
1463	0.9375
1464	0.9375
1465	0.96875
1466	0.90625
1467	1.0
1468	1.0
1469	0.90625
1470	0.9375
1471	0.90625
1472	0.84375
1473	0.90625
1474	1.0
1475	0.875
1476	0.9375
1477	1.0
1478	0.875
1479	0.96875
1480	0.90625
1481	0.90625
1482	0.9375
1483	1.0
1484	0.90625
1485	0.875
1486	0.84375
1487	1.0
1488	1.0
1489	0.96875
1490	1.0
1491	0.90625
1492	0.875
1493	0.96875
1494	0.90625
1495	0.84375
1496	0.875
1497	0.875
1498	0.9375
1499	0.96875
1500	0.9375
1501	0.875
1502	1.0
1503	0.90625
1504	0.9375
1505	1.0
1506	0.96875
1507	0.90625
1508	0.96875
1509	1.0
1510	0.96875
1511	1.0
1512	0.875
1513	0.9375
1514	0.96875
1515	0.90625
1516	1.0
1517	0.96875
1518	0.96875
1519	0.96875
1520	0.96875
1521	0.96875
1522	0.84375
1523	0.96875
1524	0.875
1525	1.0
1526	1.0
1527	0.90625
1528	0.8125
1529	0.9375
1530	0.9375
1531	0.78125
1532	0.78125
1533	0.96875
1534	0.75
1535	0.96875
1536	0.96875
1537	0.9375
1538	0.9375
1539	0.84375
1540	0.96875
1541	0.90625
1542	0.875
1543	0.96875
1544	0.875
1545	1.0
1546	0.84375
1547	0.96875
1548	0.96875
1549	0.96875
1550	0.90625
1551	0.96875
1552	0.90625
1553	1.0
1554	0.84375
1555	0.96875
1556	0.9375
1557	0.875
1558	0.9375
1559	0.90625
1560	0.9375
1561	0.96875
1562	0.90625
1563	0.9375
1564	0.96875
1565	0.96875
1566	0.96875
1567	0.96875
1568	0.96875
1569	0.9375
1570	0.96875
1571	0.90625
1572	0.9375
1573	0.9375
1574	0.9375
1575	0.875
1576	0.9375
1577	0.96875
1578	0.96875
1579	0.96875
1580	0.9375
1581	0.875
1582	0.9375
1583	0.9333333969116211
1584	0.90625
1585	0.96875
1586	0.84375
1587	1.0
1588	0.90625
1589	1.0
1590	0.96875
1591	0.96875
1592	0.90625
1593	1.0
1594	0.96875
1595	0.9375
1596	0.9375
1597	0.96875
1598	0.9375
1599	0.8125
1600	0.90625
1601	0.875
1602	0.875
